exp,step,feature,probe_auc,chance_auc,n_succ,n_fail
official_4to5,init,action_hidden,0.8079639153786712,0.5079675301606879,140,3862
official_4to5,init,obs_hidden,0.8870381936431546,0.4776661650657891,140,3862
official_4to5,init,action+obs,0.8846993458920277,0.49321046984505756,140,3862
official_4to5,15,action_hidden,0.8277862542287497,0.484280980693822,283,3718
official_4to5,15,obs_hidden,0.9104408530697355,0.46699737973568195,283,3718
official_4to5,15,action+obs,0.8943453938323428,0.4795840869921079,283,3718
official_4to5,30,action_hidden,0.7873256868112601,0.5192217512936443,312,3697
official_4to5,30,obs_hidden,0.9401511505082155,0.4603158779465035,312,3697
official_4to5,30,action+obs,0.9078660164002169,0.5012458740613615,312,3697
official_4to5,45,action_hidden,0.8571384936902179,0.5080443694236797,435,3575
official_4to5,45,obs_hidden,0.9324105779278193,0.49908849770918734,435,3575
official_4to5,45,action+obs,0.9326742223293947,0.4857294429708222,435,3575
official_4to5,60,action_hidden,0.8211788944865444,0.508341279585088,458,3555
official_4to5,60,obs_hidden,0.9351441379509623,0.4802646017835891,458,3555
official_4to5,60,action+obs,0.9140969866066179,0.4969350315800508,458,3555
official_4to5,75,action_hidden,0.811507658334136,0.4873001521678231,914,3098
official_4to5,75,obs_hidden,0.9137850539553017,0.5082775216967194,914,3098
official_4to5,75,action+obs,0.900080089770751,0.4985755566633272,914,3098
official_4to5,90,action_hidden,0.7982227928187188,0.4857765039321566,921,3092
official_4to5,90,obs_hidden,0.8991836485888409,0.4895107698933588,921,3092
official_4to5,90,action+obs,0.9041517907319975,0.4780585765930291,921,3092
official_4to5,105,action_hidden,0.7145950436068643,0.5134081732678627,908,3102
official_4to5,105,obs_hidden,0.8681852379852039,0.4964691856400689,908,3102
official_4to5,105,action+obs,0.8516080837497233,0.5012266009338917,908,3102
official_4to5,120,action_hidden,0.7214963023270521,0.5148373893352655,1136,2874
official_4to5,120,obs_hidden,0.8864803208426558,0.4963651534505676,1136,2874
official_4to5,120,action+obs,0.8513100813005788,0.5078718595415012,1136,2874
official_4to5,135,action_hidden,0.7276070787369278,0.498366272941502,1621,2389
official_4to5,135,obs_hidden,0.8848341350274691,0.5091153519901623,1621,2389
official_4to5,135,action+obs,0.8706491209362304,0.5036586122144251,1621,2389
official_4to5,150,action_hidden,0.7264955111456756,0.49179333563815514,2159,1846
official_4to5,150,obs_hidden,0.882651534308345,0.491611822167586,2159,1846
official_4to5,150,action+obs,0.8681042701555672,0.4889182996030884,2159,1846
